player,position,team,age,adp,projected_ppg,market_ppg,snap_share,route_share,target_share,carry_share,rz_share,last3_usage_delta,last3_fp_delta,depth_chart_delta,td_rate_z,yards_per_touch_z,catch_rate_z,draft_capital_score,rostered_pct,next3_matchup
Demo Player 1,QB,ATL,27,175.2,14.6,14.3,0.625,0.126,0.0,0.067,0.199,0.028,2.09,1,1.24,-0.81,0.06,81,30,3.98
Demo Player 2,QB,CIN,22,162.4,16.5,16.9,0.926,0.059,0.0,0.06,0.137,0.142,3.85,0,-2.36,-0.74,1.16,42,43,-0.65
Demo Player 3,QB,PHI,35,49.9,21.2,18.4,0.46,0.107,0.0,0.013,0.111,0.03,-1.44,0,1.5,0.32,0.84,74,27,2.38
Demo Player 4,QB,MIN,26,42.8,18.3,19.4,0.846,0.24,0.0,0.036,0.188,-0.073,1.76,0,0.82,-0.83,1.4,34,90,-1.28
Demo Player 5,QB,BAL,31,103.1,19.7,18.5,0.807,0.152,0.0,0.049,0.218,0.064,-0.52,0,0.67,0.5,0.01,38,51,-1.06
Demo Player 6,QB,CHI,24,40.0,15.0,18.1,0.821,0.1,0.0,0.113,0.048,-0.014,-0.97,-1,-0.27,0.6,-0.88,70,26,0.73
Demo Player 7,QB,BUF,28,179.3,20.2,16.1,0.632,0.165,0.0,0.11,0.353,0.028,3.49,0,-0.82,-2.22,-1.86,45,47,0.61
Demo Player 8,QB,LAR,26,112.5,19.1,22.6,0.776,0.155,0.0,0.036,0.237,0.032,3.31,-1,-0.03,1.15,1.55,62,10,-0.12
Demo Player 9,QB,TB,35,39.6,17.5,17.1,0.835,0.1,0.0,0.079,0.419,-0.01,0.33,1,1.48,-0.18,-0.1,62,12,-1.68
Demo Player 10,QB,ATL,33,150.4,14.6,16.1,0.471,0.236,0.0,0.027,0.273,-0.014,1.0,0,0.09,-0.44,0.18,86,36,2.64
Demo Player 11,QB,CIN,25,1.3,16.2,14.3,0.627,0.245,0.0,0.034,0.07,-0.168,-4.76,0,-0.27,-0.48,0.27,86,93,0.77
Demo Player 12,QB,PHI,29,82.7,19.8,20.5,0.853,0.195,0.0,0.013,0.125,0.104,-6.56,0,0.45,-0.6,1.18,42,47,2.18
Demo Player 13,RB,IND,25,6.7,11.4,11.7,0.373,0.308,0.263,0.271,0.366,-0.031,-3.62,0,-0.21,1.43,-1.63,28,68,0.42
Demo Player 14,RB,SF,25,64.1,18.2,19.3,0.372,0.837,0.207,0.237,0.182,0.025,-5.46,0,0.26,1.02,-1.61,58,18,3.04
Demo Player 15,RB,SF,21,2.6,7.3,7.2,0.595,0.886,0.121,0.117,0.196,0.063,-2.62,0,-1.82,2.14,-0.65,57,72,-1.73
Demo Player 16,RB,DET,27,132.3,16.2,19.2,0.777,0.708,0.289,0.161,0.105,-0.027,3.47,0,0.63,0.62,-1.35,62,12,1.78
Demo Player 17,RB,HOU,25,85.7,12.0,14.7,0.438,0.605,0.072,0.167,0.392,0.097,3.42,0,-1.06,3.59,-0.12,95,89,3.44
Demo Player 18,RB,PHI,23,37.3,10.4,12.0,0.607,0.608,0.093,0.576,0.131,0.076,5.0,0,1.29,-1.76,-0.94,85,24,1.88
Demo Player 19,RB,CHI,25,92.4,8.8,10.1,0.763,0.332,0.271,0.179,0.213,0.12,2.74,1,0.42,-3.2,0.19,94,61,2.5
Demo Player 20,RB,DET,23,119.2,8.9,7.8,0.59,0.67,0.227,0.301,0.27,0.059,-1.31,1,0.21,0.05,0.36,20,69,1.61
Demo Player 21,RB,HOU,29,179.4,9.5,14.2,0.436,0.326,0.166,0.66,0.126,0.108,-2.98,0,0.54,1.24,-0.64,21,26,-0.09
Demo Player 22,RB,PHI,23,67.5,8.1,8.6,0.793,0.682,0.051,0.1,0.398,0.165,-0.0,-1,-0.32,-0.4,0.23,94,33,-1.49
Demo Player 23,RB,TB,30,46.5,12.3,11.9,0.409,0.62,0.181,0.62,0.307,-0.042,6.55,0,0.32,1.21,0.72,48,59,-2.42
Demo Player 24,RB,BUF,21,61.1,7.1,7.5,0.763,0.67,0.281,0.393,0.352,-0.14,-5.2,1,-0.29,-0.01,-0.56,44,78,-3.02
Demo Player 25,RB,CHI,26,23.7,18.2,15.7,0.86,0.869,0.084,0.437,0.226,-0.021,3.58,0,-0.95,-1.66,0.28,85,5,-1.39
Demo Player 26,RB,IND,25,150.6,7.5,6.0,0.791,0.344,0.179,0.247,0.165,0.044,0.95,0,0.57,-1.54,1.72,29,17,-0.2
Demo Player 27,RB,IND,31,51.9,16.2,18.2,0.695,0.437,0.052,0.635,0.207,-0.094,-3.57,0,-0.79,0.3,-1.16,37,41,-2.01
Demo Player 28,RB,PHI,26,163.3,13.4,11.9,0.779,0.794,0.092,0.461,0.228,-0.036,-2.54,-1,-0.13,0.46,-3.08,85,96,1.12
Demo Player 29,RB,KC,23,139.4,8.0,10.6,0.426,0.731,0.036,0.136,0.345,0.086,-1.88,1,-0.93,0.06,-0.36,55,8,-1.01
Demo Player 30,RB,MIN,26,159.7,9.5,8.6,0.608,0.851,0.183,0.085,0.084,0.155,-2.42,0,0.55,-1.08,0.75,61,60,-0.21
Demo Player 31,RB,LAR,28,71.8,16.4,21.0,0.566,0.451,0.163,0.23,0.273,-0.019,-4.54,-1,-1.02,-0.23,-0.79,58,31,-2.69
Demo Player 32,RB,KC,25,111.5,11.3,12.2,0.918,0.562,0.124,0.19,0.128,0.091,-0.33,0,-0.23,1.87,0.43,74,47,0.68
