Penalty,median,p90,mean,top12_retention
0.1,1.0,26.0,6.032894736842105,0.9944444444444445
0.2,2.0,27.0,7.485964912280702,0.9722222222222222
0.3,3.0,27.0,9.039473684210526,0.9555555555555556
0.4,4.0,27.0,10.728508771929825,0.8777777777777778
0.5,5.0,32.0,12.24736842105263,0.8333333333333334
0.6,6.0,35.0,13.822807017543859,0.8166666666666667
0.7,6.0,37.0,15.378947368421052,0.6888888888888889
0.75,7.0,41.0,16.29298245614035,0.6333333333333333
0.8,7.0,42.09999999999991,17.143421052631577,0.6333333333333333
0.9,8.0,47.0,18.464473684210525,0.6
1.0,9.0,52.0,19.810964912280703,0.5888888888888889
1.1,10.0,57.09999999999991,21.265350877192983,0.5611111111111111
1.2,11.0,62.0,22.378508771929823,0.4888888888888889
1.25,11.0,62.0,23.04561403508772,0.4777777777777778
1.3,12.0,65.0,23.74473684210526,0.4666666666666667
1.4,13.0,69.0,24.936842105263157,0.45
1.5,13.0,71.0,26.029824561403508,0.37222222222222223
1.75,16.0,73.0,28.730701754385965,0.2833333333333333
2.0,18.0,73.09999999999991,31.185964912280703,0.21666666666666667
2.25,20.0,77.0,33.29254385964912,0.15555555555555556
2.5,22.0,81.0,35.210087719298244,0.15
2.75,25.0,84.0,37.08684210526316,0.05
3.0,27.0,87.0,38.85438596491228,0.05
3.25,29.0,90.0,40.674561403508775,0.0
3.5,31.0,93.0,42.33552631578947,0.0
3.75,33.0,96.0,43.81842105263158,0.0
4.0,35.0,97.0,45.295175438596495,0.0
4.5,38.0,100.0,48.0140350877193,0.0
5.0,42.0,102.0,50.766666666666666,0.0
5.5,46.0,105.0,53.21140350877193,0.0
6.0,51.0,107.0,55.29385964912281,0.0
6.5,55.0,109.0,57.34736842105263,0.0
7.0,60.0,111.0,59.598245614035086,0.0
7.5,64.0,112.09999999999991,61.28026315789474,0.0
8.0,68.0,113.0,62.92368421052632,0.0
8.5,71.0,113.09999999999991,64.73201754385966,0.0
9.0,74.0,113.09999999999991,65.9921052631579,0.0
9.5,74.0,113.09999999999991,67.16842105263157,0.0
10.0,74.0,113.09999999999991,68.32105263157895,0.0
10.5,74.0,113.09999999999991,69.36447368421052,0.0
11.0,74.0,113.09999999999991,70.29780701754386,0.0
11.5,75.0,113.09999999999991,71.26973684210526,0.0
12.0,75.0,113.09999999999991,72.09649122807018,0.0
